page,index,Продукт,Старая цена,Новая цена,Процент скидки,Время проведения акции
108,14,"Кофе Д'АРТЭ, ориджинал расстворимый, 100г",921.99,299.99,−67%,с 15 февраля - до 28 февраля
108,20,"Кофе Д'АРТЭ, ориджинал расстворимый, 100г",921.99,299.99,−67%,с 15 февраля - до 28 февраля
108,22,"Кофе Д'АРТЭ, ориджинал расстворимый, 100г",921.99,299.99,−67%,с 15 февраля - до 28 февраля
84,41,"Пельмени СИБИРСКАЯ КОЛЛЕКЦИЯ фирменные говядина-свинина, 700г",541.99,199.99,−63%,с 15 февраля - до 28 февраля
14,21,"Патчи BEAUTY BOMB Pandastic гидрогелевые, 1 пара",119.00,47.99,−60%,с  8 февраля - до  8 марта
25,26,"Патч для носа KUMIHO с бамбуковым углем, 1шт.",169.99,67.99,−60%,с  8 февраля - до  8 марта
25,27,"Патч для носа KUMIHO с экстрактом центеллы и вулканическим пеплом, 1шт.",169.99,67.99,−60%,с  8 февраля - до  8 марта
83,25,"Кофе NESCAFE® Голд Арома сублимированный растворимый, 85г",499.59,199.99,−60%,с  9 февраля - до  8 марта
83,27,"Кофе NESCAFE® Голд Арома сублимированный растворимый, 85г",499.59,199.99,−60%,с  9 февраля - до  8 марта
73,21,"Салфетки для стирки K2R Colour Catcher, 10шт.",409.99,169.99,−59%,с  8 февраля - до  8 марта
82,25,"Спрей чистящий MR.PROPER®, Универсальный, Лимон, 500мл",476.99,199.99,−58%,с  8 февраля - до  8 марта
123,2,"Кофе NESCAFE® Голд, сублимированный с молотым, 190г",979.90,409.99,−58%,с 15 февраля - до 28 февраля
123,3,"Кофе NESCAFE® Голд, сублимированный с молотым, 190г",979.90,409.99,−58%,с 15 февраля - до 28 февраля
123,4,"Кофе NESCAFE® Голд, сублимированный с молотым, 190г",979.90,409.99,−58%,с 15 февраля - до 28 февраля
76,5,"Средство чистящее СИФ спрей универсальный Ультрабыстрый, 500мл",418.99,179.99,−57%,с  8 февраля - до  8 марта
54,9,"Ассорти колбасное ВЕЛКОМ Брауншвейгская+Велком+Миланская сырокопченая, нарезка, 90г",249.99,109.99,−56%,с 15 февраля - до 28 февраля
84,30,"Кофе БЕЛАДЖИО Делюкс сублимированный средней обжарки, 95г",456.040,199.99,−56%,с 15 февраля - до 28 февраля
84,32,"Кофе БЕЛАДЖИО Делюкс сублимированный средней обжарки, 95г",456.040,199.99,−56%,с 15 февраля - до 28 февраля
84,33,"Кофе БЕЛАДЖИО Делюкс сублимированный средней обжарки, 95г",456.040,199.99,−56%,с 15 февраля - до 28 февраля
107,37,"Конфеты БАБАЕВСКИЙ, Цельный фундук и дробленый миндаль, 200г",678.43,299.99,−56%,с  9 февраля - до  8 марта
107,39,"Конфеты БАБАЕВСКИЙ, Цельный фундук и дробленый миндаль, 200г",678.43,299.99,−56%,с  9 февраля - до  8 марта
109,40,"Пельмени МИРАТОРГ, с мраморной говядиной, 800г",699.99,309.89,−56%,с  9 февраля - до  8 марта
122,3,"Кофе JACOBS Монарх растворимый, 190г",899.99,399.99,−56%,с 15 февраля - до 28 февраля
